model,roc_auc,average_precision,precision,recall,f1
Isolation_Forest,0.9821,0.9214,0.8667,0.8667,0.8667
Feature_Bagging,0.9765,0.9052,0.8333,0.8333,0.8333
LOF,0.9712,0.8891,0.8000,0.8000,0.8000
Average_KNN,0.9688,0.8743,0.8000,0.8000,0.8000
KNN,0.9645,0.8610,0.7667,0.7667,0.7667
CBLOF,0.9581,0.8422,0.7333,0.7333,0.7333
ABOD,0.9510,0.8215,0.7000,0.7000,0.7000
HBOS,0.9426,0.7988,0.6667,0.6667,0.6667
MCD,0.9354,0.7761,0.6667,0.6667,0.6667
PCA,0.9217,0.7410,0.6333,0.6333,0.6333
OCSVM,0.9082,0.7104,0.6000,0.6000,0.6000
